Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,8.8554,9.8931,8.8001,,,,,,
2000-05-02 00:00:00,,,,9.5472,9.7548,9.3258,,,,,,
2000-05-03 00:00:00,,,,9.1875,9.2705,9.1183,,,,,,
2000-05-04 00:00:00,,,,9.2013,9.2428,9.0768,,,,,,
2000-05-05 00:00:00,,,,9.1321,9.6303,9.1045,,,,,,
2000-05-08 00:00:00,,,,9.6303,9.6579,9.2982,,,,,,
2000-05-09 00:00:00,,,,9.4227,9.4781,9.1875,,,,,,
2000-05-10 00:00:00,,,,9.2013,9.2013,8.7447,,,,,,
2000-05-11 00:00:00,,,,8.8554,9.4919,8.7447,,,,,,
2000-05-12 00:00:00,,,,9.395,9.6303,9.2982,,,,,,
2000-05-15 00:00:00,,,,9.2428,9.3258,8.7447,,,,,,
2000-05-16 00:00:00,,,,9.3812,9.4089,9.0768,,,,,,
2000-05-17 00:00:00,,,,9.229,9.229,8.8831,,,,,,
2000-05-18 00:00:00,,,,9.0768,9.1736,9.0768,,,,,,
2000-05-19 00:00:00,,,,9.0768,9.0768,8.786200000000001,,,,,,
2000-05-22 00:00:00,,,,8.8554,8.8554,8.5372,,,,,,
2000-05-23 00:00:00,,,,8.6894,9.3535,8.6894,,,,,,
2000-05-24 00:00:00,,,,9.2152,9.3535,8.9108,,,,,,
2000-05-25 00:00:00,,,,9.2705,9.3812,9.0768,,,,,,
2000-05-26 00:00:00,,,,9.1598,9.2013,8.9246,,,,,,
2000-05-30 00:00:00,,,,8.9661,9.3535,8.9246,,,,,,
2000-05-31 00:00:00,,,,9.3812,9.3812,9.0768,,,,,,
2000-06-01 00:00:00,,,,9.1321,9.1875,9.0214,,,,,,
2000-06-02 00:00:00,,,,9.2428,9.4642,9.2428,,,,,,
2000-06-05 00:00:00,,,,9.3258,9.4642,9.2843,,,,,,
2000-06-06 00:00:00,,,,9.4089,9.4089,9.0353,,,,,,
2000-06-07 00:00:00,,,,9.1875,9.2428,9.0353,,,,,,
2000-06-08 00:00:00,,,,9.0491,9.0491,8.8001,,,,,,
2000-06-09 00:00:00,,,,8.8554,9.4642,8.8554,,,,,,
2000-06-12 00:00:00,,,,9.5196,9.5196,8.9108,,,,,,
2000-06-13 00:00:00,,,,8.9938,9.3812,8.9384,,,,,,
2000-06-14 00:00:00,,,,9.3674,9.7133,9.2428,,,,,,
2000-06-15 00:00:00,,,,9.3674,9.7133,9.3674,,,,,,
2000-06-16 00:00:00,,,,9.6856,9.7133,9.5196,,,,,,
2000-06-19 00:00:00,,,,9.5887,9.6026,9.146,,,,,,
2000-06-20 00:00:00,,,,9.5196,9.5196,9.3812,,,,,,
