Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,7.0313,7.5938,7.0156,,,,0,1,2
2000-05-02 00:00:00,,,,7.4063,7.4063,7.0938,,,,,,
2000-05-03 00:00:00,,,,7.1875,7.25,7.1094,,,,,,
2000-05-04 00:00:00,,,,7.25,7.4375,7.1094,,,,,,
2000-05-05 00:00:00,,,,7.1563,7.2188,7.0781,,,,,,
2000-05-08 00:00:00,,,,7.2188,7.375,7,,,,,,
2000-05-09 00:00:00,,,,7.1406,7.25,7.0781,,,,,,
2000-05-10 00:00:00,,,,7.2188,7.2656,7.1563,,,,,,
2000-05-11 00:00:00,,,,7.1875,7.3594,7.1563,,,,,,
2000-05-12 00:00:00,,,,7.2344,7.3438,7.1875,,,,,,
2000-05-15 00:00:00,,,,7.2813,7.5313,7.25,,,,,,
2000-05-16 00:00:00,,,,7.3906,7.4844,7.3125,,,,,,
2000-05-17 00:00:00,,,,7.2969,7.3125,7.0938,,,,0,1,2
2000-05-18 00:00:00,,,,7.2344,7.3281,7.1719,,,,,,
2000-05-19 00:00:00,,,,7.25,7.2969,7.1563,,,,,,
2000-05-22 00:00:00,,,,7.2344,7.2344,7.125,,,,,,
2000-05-23 00:00:00,,,,7.2031,7.3906,7.1875,,,,,,
2000-05-24 00:00:00,,,,7.4063,7.625,7.3906,,,,,,
2000-05-25 00:00:00,,,,7.4844,7.5469,7.1875,,,,,,
2000-05-26 00:00:00,,,,7.25,7.4063,7.1563,,,,,,
2000-05-30 00:00:00,,,,7.1875,7.2344,7.0938,,,,,,
2000-05-31 00:00:00,,,,7.2656,7.375,7.1563,,,,,,
2000-06-01 00:00:00,,,,7.1563,7.5,7.1094,,,,0,1,2
2000-06-02 00:00:00,,,,7.5938,7.8125,7.4844,,,,,,
2000-06-05 00:00:00,,,,7.5313,7.5313,7.1406,,,,,,
2000-06-06 00:00:00,,,,7.1563,7.1563,6.9531,,,,,,
2000-06-07 00:00:00,,,,6.9688,7.2344,6.9375,,,,,,
2000-06-08 00:00:00,,,,7.2188,7.25,6.6875,,,,,,
2000-06-09 00:00:00,,,,6.9063,7,6.75,,,,,,
2000-06-12 00:00:00,,,,6.6875,6.7813,6.6406,,,,,,
2000-06-13 00:00:00,,,,6.6719,6.6719,6.4844,,,,0,1,2
2000-06-14 00:00:00,,,,6.5469,6.625,6.5,,,,,,
2000-06-15 00:00:00,,,,6.5938,6.625,6.2656,,,,,,
2000-06-16 00:00:00,,,,6.2031,6.5313,6.2031,,,,,,
2000-06-19 00:00:00,,,,6.5156,6.5313,6.0156,,,,,,
2000-06-20 00:00:00,,,,6.1406,6.2344,6.0156,,,,,,
2000-06-21 00:00:00,,,,6.125,6.1406,5.8125,,,,,,
2000-06-22 00:00:00,,,,5.7969,5.9844,5.7813,,,,,,
2000-06-23 00:00:00,,,,5.9531,5.9688,5.7188,,,,,,
2000-06-26 00:00:00,,,,5.9063,6.125,5.9063,,,,,,
2000-06-27 00:00:00,,,,6.0156,6.25,5.9063,,,,,,
2000-06-28 00:00:00,,,,6.0156,6.0625,5.8594,,,,,,
2000-06-29 00:00:00,,,,5.875,6.3125,5.8125,,,,,,
2000-06-30 00:00:00,,,,6.1875,6.2031,5.8906,,,,,,
2000-07-03 00:00:00,,,,5.9375,6,5.8906,,,,,,
