Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,43.688,44.313,43.063,,,,0,5,1
2000-05-02 00:00:00,,,,44.5,45.375,43.688,,,,0,5,1
2000-05-03 00:00:00,,,,44,44.063,43.5,,,,,,
2000-05-04 00:00:00,,,,43.625,44.563,42.813,,,,,,
2000-05-05 00:00:00,,,,43.625,43.938,43.25,,,,,,
2000-05-08 00:00:00,,,,43.75,43.938,43.125,,,,,,
2000-05-09 00:00:00,,,,44,44.938,43.875,,,,,,
2000-05-10 00:00:00,,,,44.813,45.5,44.813,,,,,,
2000-05-11 00:00:00,,,,45,46.875,45,,,,,,
2000-05-12 00:00:00,,,,46.688,47.188,46.25,,,,,,
2000-05-15 00:00:00,,,,46.438,46.875,46.375,,,,,,
2000-05-16 00:00:00,,,,47.063,47.625,47,,,,,,
2000-05-17 00:00:00,,,,47.375,48.063,47.375,,,,,,
2000-05-18 00:00:00,,,,48.063,48.625,48,,,,,,
2000-05-19 00:00:00,,,,48.25,48.75,48.188,,,,,,
2000-05-22 00:00:00,,,,48.375,48.875,48.313,,,,,,
2000-05-23 00:00:00,,,,48.563,48.563,47.25,,,,,,
2000-05-24 00:00:00,,,,47.5,47.75,46.938,,,,,,
2000-05-25 00:00:00,,,,47.25,48.188,46.688,,,,,,
2000-05-26 00:00:00,,,,48.188,48.375,46.563,,,,,,
2000-05-30 00:00:00,,,,46.625,48.625,46.625,,,,,,
2000-05-31 00:00:00,,,,47.875,47.875,46.75,,,,,,
2000-06-01 00:00:00,,,,46.563,46.75,46.063,,,,0,5,1
2000-06-02 00:00:00,,,,46.188,48.5,46.125,,,,,,
2000-06-05 00:00:00,,,,48.5,48.5,47.125,,,,,,
2000-06-06 00:00:00,,,,47.75,47.75,46.063,,,,0,5,1
2000-06-07 00:00:00,,,,46.063,46.063,44.75,,,,0,5,1
2000-06-08 00:00:00,,,,44.813,45,44.75,,,,0,5,1
2000-06-09 00:00:00,,,,44.813,45.313,44.625,,,,0,5,1
2000-06-12 00:00:00,,,,45.125,45.5,44.875,,,,,,
2000-06-13 00:00:00,,,,44.813,45,43.813,,,,,,
2000-06-14 00:00:00,,,,44.125,45.813,44.125,,,,,,
