Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,144,147,134,,,,0,8,1
2000-05-02 00:00:00,,,,131.625,141.5,125.625,,,,,,
2000-05-03 00:00:00,,,,124.9844,128.625,117.5,,,,0,8,1
2000-05-04 00:00:00,,,,129.75,132.75,121.75,,,,,,
2000-05-05 00:00:00,,,,128.5,139.5,127.5,,,,,,
2000-05-08 00:00:00,,,,139.8125,143,131,,,,,,
2000-05-09 00:00:00,,,,132.375,133.5,123.5,,,,,,
2000-05-10 00:00:00,,,,124.5625,128,117.5,,,,,,
2000-05-11 00:00:00,,,,124.1875,124.625,114,,,,,,
2000-05-12 00:00:00,,,,120.5625,124,116.5,,,,0,8,1
2000-05-15 00:00:00,,,,118.8125,131.75,113.5625,,,,,,
2000-05-16 00:00:00,,,,133.6875,140,131.0625,,,,,,
2000-05-17 00:00:00,,,,134.5625,138.5,130.25,,,,,,
2000-05-18 00:00:00,,,,134.1875,136,130.375,,,,,,
2000-05-19 00:00:00,,,,126.8125,132.0625,122.5,,,,0,8,1
2000-05-22 00:00:00,,,,124.1875,124.6875,113,,,,,,
2000-05-23 00:00:00,,,,117.9375,123.6875,107.75,,,,,,
2000-05-24 00:00:00,,,,107.75,119,99.5,,,,,,
2000-05-25 00:00:00,,,,118.8438,134.75,118.6875,,,,,,
2000-05-26 00:00:00,,,,123,123.9375,114.0313,,,,,,
2000-05-29 00:00:00,,,,,,,,,,0,8,0
2000-05-30 00:00:00,,,,124.875,135.125,124.75,,,,,,
2000-05-31 00:00:00,,,,132.5,142.0156,129.75,,,,0,8,0
2000-06-01 00:00:00,,,,139.125,156.25,138.5,,,,,,
2000-06-02 00:00:00,,,,162.5625,183,162.125,,,,0,8,0
2000-06-05 00:00:00,,,,178.4375,184,174,,,,,,
2000-06-06 00:00:00,,,,181.5,182,171,,,,,,
2000-06-07 00:00:00,,,,168.125,191,165.875,,,,,,
2000-06-08 00:00:00,,,,192.0625,200.5,181.6875,,,,,,
2000-06-09 00:00:00,,,,192.5625,197.0625,181.75,,,,0,8,0
2000-06-12 00:00:00,,,,194.0625,194.3125,172,,,,,,
2000-06-13 00:00:00,,,,171.8125,172.875,156.25,,,,0,8,0
2000-06-14 00:00:00,,,,168.375,177.875,162,,,,,,
2000-06-15 00:00:00,,,,166.125,179.25,161.375,,,,,,
2000-06-16 00:00:00,,,,178.75,179.625,164.5,,,,0,8,0
2000-06-19 00:00:00,,,,164.5625,176.875,158.5,,,,,,
2000-06-20 00:00:00,,,,172.9063,183,171.625,,,,,,
2000-06-21 00:00:00,,,,172.875,172.875,165.5,,,,0,9,0
2000-06-22 00:00:00,,,,169.8906,174.8125,160.6406,,,,,,
2000-06-23 00:00:00,,,,160.75,165,148.625,,,,,,
2000-06-26 00:00:00,,,,152.5,163,149.5625,,,,,,
2000-06-27 00:00:00,,,,158.3125,160.375,154.5,,,,,,
2000-06-28 00:00:00,,,,158,172,157.1875,,,,0,9,0
2000-06-29 00:00:00,,,,166.5,178.875,166.25,,,,0,9,0
2000-06-30 00:00:00,,,,178.5,179.75,170,,,,,,
2000-07-03 00:00:00,,,,175,185.5,172.125,,,,,,
