Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,26.3125,29.1875,26,,,,0,2,0
2000-05-02 00:00:00,,,,27.375,29.125,27.0625,,,,,,
2000-05-03 00:00:00,,,,28.125,28.25,25.375,,,,,,
2000-05-04 00:00:00,,,,26.25,28.6875,26.25,,,,,,
2000-05-05 00:00:00,,,,27.875,30.6875,27.5625,,,,,,
2000-05-08 00:00:00,,,,29.75,33.25,29.75,,,,,,
2000-05-09 00:00:00,,,,35.6875,36.6875,30.5938,,,,,,
2000-05-10 00:00:00,,,,31.9375,33.3125,28.4375,,,,0,2,0
2000-05-11 00:00:00,,,,33.5,34.625,33,,,,,,
2000-05-12 00:00:00,,,,33.6875,33.875,30,,,,0,2,0
2000-05-15 00:00:00,,,,30.5,33.5938,30.5,,,,,,
2000-05-16 00:00:00,,,,33.625,34.625,32.125,,,,,,
2000-05-17 00:00:00,,,,32.7188,33.875,31.5938,,,,,,
2000-05-18 00:00:00,,,,32.5,35.25,32.25,,,,,,
2000-05-19 00:00:00,,,,34.5625,34.7188,31.1875,,,,0,2,0
2000-05-22 00:00:00,,,,32.0625,32.3125,30.625,,,,,,
2000-05-23 00:00:00,,,,32,34.5,31.5,,,,,,
2000-05-24 00:00:00,,,,31.5,31.75,29.5,,,,,,
2000-05-25 00:00:00,,,,30.875,31.875,30.0625,,,,,,
2000-05-26 00:00:00,,,,31.4375,32.5,31.3125,,,,,,
2000-05-30 00:00:00,,,,32,35.9688,32,,,,,,
2000-05-31 00:00:00,,,,34.4688,37.5,34.25,,,,0,2,0
2000-06-01 00:00:00,,,,37.25,39.8125,37.0625,,,,,,
2000-06-02 00:00:00,,,,40,41.5,39.7813,,,,0,3,0
2000-06-05 00:00:00,,,,41.5938,43.0938,39,,,,,,
2000-06-06 00:00:00,,,,41.0313,41.0313,38.4375,,,,,,
2000-06-07 00:00:00,,,,40.75,41.8125,40.625,,,,0,4,0
2000-06-08 00:00:00,,,,41.75,42.5,40.25,,,,,,
2000-06-09 00:00:00,,,,41.0625,44.5938,39.6875,,,,0,4,0
2000-06-12 00:00:00,,,,42.75,43.6875,39.75,,,,,,
