Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,0,2
2000-05-05 00:00:00,,,,,,,,,,0,0,2
2000-06-01 00:00:00,,,,,,,,,,0,0,3
2000-06-09 00:00:00,,,,,,,,,,0,0,3
2000-07-24 00:00:00,,,,,,,,,,0,0,2
2000-07-28 00:00:00,,,,,,,,,,0,0,2
2000-10-04 00:00:00,,,,,,,,,,0,1,1
2000-10-27 00:00:00,,,,,,,,,,0,1,1
2000-10-30 00:00:00,,,,,,,,,,0,1,2
2000-11-03 00:00:00,,,,,,,,,,0,1,3
2001-01-08 00:00:00,,,,,,,,,,0,1,4
2001-01-12 00:00:00,,,,,,,,,,0,1,4
2001-01-26 00:00:00,,,,,,,,,,0,1,4
2001-01-29 00:00:00,,,,,,,,,,0,1,4
2001-03-07 00:00:00,,,,,,,,,,0,1,4
2001-04-09 00:00:00,,,,,,,,,,0,1,4
2001-04-10 00:00:00,,,,,,,,,,0,1,4
2001-04-11 00:00:00,,,,,,,,,,0,1,4
2001-04-27 00:00:00,,,,,,,,,,0,1,4
2001-05-17 00:00:00,,,,,,,,,,0,1,4
2001-05-29 00:00:00,,,,,,,,,,0,1,4
2001-06-04 00:00:00,,,,,,,,,,0,1,3
2001-06-15 00:00:00,,,,,,,,,,0,1,3
2001-07-13 00:00:00,,,,,,,,,,0,1,4
2001-07-16 00:00:00,,,,,,,,,,0,1,4
2001-07-26 00:00:00,,,,,,,,,,0,1,4
2001-07-31 00:00:00,,,,,,,,,,0,2,3
2001-08-02 00:00:00,,,,,,,,,,0,2,3
2001-09-07 00:00:00,,,,,,,,,,0,2,3
2001-10-03 00:00:00,,,,,,,,,,0,2,3
2001-10-04 00:00:00,,,,,,,,,,0,2,3
2001-10-10 00:00:00,,,,,,,,,,0,2,3
2001-10-26 00:00:00,,,,,,,,,,0,2,3
2001-10-29 00:00:00,,,,,,,,,,0,2,2
2001-10-31 00:00:00,,,,,,,,,,0,2,2
2001-12-21 00:00:00,,,,,,,,,,0,2,2
2002-01-24 00:00:00,,,,,,,,,,0,2,3
2002-01-25 00:00:00,,,,,,,,,,0,2,3
2002-01-28 00:00:00,,,,,,,,,,0,2,2
2002-02-06 00:00:00,,,,,,,,,,0,2,2
2002-03-01 00:00:00,,,,,,,,,,0,3,2
2002-03-07 00:00:00,,,,,,,,,,0,3,2
2002-04-04 00:00:00,,,,,,,,,,0,3,3
2002-04-26 00:00:00,,,,,,,,,,0,3,3
2002-05-06 00:00:00,,,,,,,,,,0,3,3
2002-05-09 00:00:00,,,,,,,,,,0,3,3
2002-06-05 00:00:00,,,,,,,,,,0,3,3
2002-07-12 00:00:00,,,,,,,,,,1,3,2
2002-07-26 00:00:00,,,,,,,,,,0,3,3
2002-07-31 00:00:00,,,,,,,,,,0,4,2
2002-09-05 00:00:00,,,,,,,,,,0,4,2
2002-09-06 00:00:00,,,,,,,,,,0,4,2
2002-09-10 00:00:00,,,,,,,,,,0,4,2
2002-09-25 00:00:00,,,,,,,,,,0,4,2
2002-10-17 00:00:00,,,,,,,,,,0,4,2
2002-10-18 00:00:00,,,,,,,,,,0,4,2
2002-10-30 00:00:00,,,,,,,,,,0,4,2
2002-11-01 00:00:00,,,,,,,,,,0,4,2
2002-11-20 00:00:00,,,,,,,,,,0,3,3
2002-12-05 00:00:00,,,,,,,,,,0,3,3
2003-01-06 00:00:00,,,,,,,,,,0,3,3
2003-01-21 00:00:00,,,,,,,,,,0,3,4
2003-01-24 00:00:00,,,,,,,,,,0,4,3
2003-01-27 00:00:00,,,,,,,,,,0,4,2
2003-01-31 00:00:00,,,,,,,,,,0,5,2
2003-02-04 00:00:00,,,,,,,,,,0,4,2
2003-02-05 00:00:00,,,,,,,,,,0,4,1
2003-02-26 00:00:00,,,,,,,,,,0,4,1
2003-03-06 00:00:00,,,,,,,,,,0,4,2
2003-03-10 00:00:00,,,,,,,,,,0,4,2
2003-04-04 00:00:00,,,,,,,,,,0,3,3
2003-04-07 00:00:00,,,,,,,,,,0,2,4
2003-04-14 00:00:00,,,,,,,,,,0,2,4
2003-04-25 00:00:00,,,,,,,,,,0,3,4
2003-05-29 00:00:00,,,,,,,,,,0,3,5
2003-06-09 00:00:00,,,,,,,,,,0,3,5
2003-06-17 00:00:00,,,,,,,,,,0,3,5
2003-06-20 00:00:00,,,,,,,,,,0,3,5
2003-06-30 00:00:00,,,,,,,,,,0,3,5
2003-07-08 00:00:00,,,,,,,,,,1,3,4
2003-07-09 00:00:00,,,,,,,,,,1,3,5
2003-07-22 00:00:00,,,,,,,,,,1,3,5
2003-07-25 00:00:00,,,,,,,,,,1,1,7
2003-08-22 00:00:00,,,,,,,,,,2,1,7
2003-08-25 00:00:00,,,,,,,,,,2,1,7
2003-08-28 00:00:00,,,,,,,,,,2,2,6
2003-08-29 00:00:00,,,,,,,,,,2,3,5
2003-09-02 00:00:00,,,,,,,,,,2,3,5
2003-09-08 00:00:00,,,,,,,,,,2,3,5
2003-09-12 00:00:00,,,,,,,,,,2,3,6
2003-09-15 00:00:00,,,,,,,,,,2,3,6
2003-09-22 00:00:00,,,,,,,,,,2,3,7
2003-09-23 00:00:00,,,,,,,,,,2,3,7
2003-10-07 00:00:00,,,,,,,,,,2,2,8
2003-10-16 00:00:00,,,,,,,,,,2,3,7
2003-10-20 00:00:00,,,,,,,,,,2,2,8
2003-10-24 00:00:00,,,,,,,,,,2,2,8
2003-11-18 00:00:00,,,,,,,,,,2,2,8
2003-11-24 00:00:00,,,,,,,,,,2,2,8
2003-12-08 00:00:00,,,,,,,,,,2,2,8
2003-12-12 00:00:00,,,,,,,,,,2,2,8
2003-12-15 00:00:00,,,,,,,,,,2,2,8
2003-12-16 00:00:00,,,,,,,,,,2,3,8
2003-12-18 00:00:00,,,,,,,,,,2,4,7
2004-01-05 00:00:00,,,,,,,,,,2,4,6
2004-01-13 00:00:00,,,,,,,,,,2,5,6
2004-01-14 00:00:00,,,,,,,,,,2,5,7
2004-01-16 00:00:00,,,,,,,,,,2,5,7
2004-01-20 00:00:00,,,,,,,,,,2,5,7
2004-01-21 00:00:00,,,,,,,,,,3,5,6
2004-01-23 00:00:00,,,,,,,,,,3,5,6
2004-01-26 00:00:00,,,,,,,,,,3,5,6
2004-01-27 00:00:00,,,,,,,,,,3,6,6
2004-02-03 00:00:00,,,,,,,,,,3,6,6
2004-02-04 00:00:00,,,,,,,,,,3,6,7
2004-02-05 00:00:00,,,,,,,,,,3,6,7
2004-02-06 00:00:00,,,,,,,,,,3,6,7
2004-02-12 00:00:00,,,,,,,,,,3,6,7
2004-03-09 00:00:00,,,,,,,,,,3,6,7
2004-03-10 00:00:00,,,,,,,,,,3,6,7
2004-03-16 00:00:00,,,,,,,,,,3,6,7
2004-03-29 00:00:00,,,,,,,,,,2,7,7
2004-03-31 00:00:00,,,,,,,,,,2,8,6
2004-04-05 00:00:00,,,,,,,,,,2,8,5
2004-04-06 00:00:00,,,,,,,,,,2,8,4
2004-04-07 00:00:00,,,,,,,,,,2,8,4
2004-04-13 00:00:00,,,,,,,,,,2,8,4
2004-04-19 00:00:00,,,,,,,,,,2,8,4
2004-04-22 00:00:00,,,,,,,,,,2,7,5
2004-04-23 00:00:00,,,,,,,,,,2,7,6
2004-05-17 00:00:00,,,,,,,,,,2,7,6
2004-05-27 00:00:00,,,,,,,,,,2,8,6
2004-06-03 00:00:00,,,,,,,,,,2,8,6
2004-06-18 00:00:00,,,,,,,,,,2,8,6
2004-06-29 00:00:00,,,,,,,,,,2,8,6
2004-07-01 00:00:00,,,,,,,,,,2,8,7
2004-07-02 00:00:00,,,,,,,,,,2,8,7
2004-07-07 00:00:00,,,,,,,,,,2,8,7
2004-07-30 00:00:00,,,,,,,,,,2,7,8
2004-08-02 00:00:00,,,,,,,,,,2,7,8
2004-08-18 00:00:00,,,,,,,,,,2,7,9
2004-08-26 00:00:00,,,,,,,,,,2,8,9
2004-09-07 00:00:00,,,,,,,,,,2,9,8
2004-09-14 00:00:00,,,,,,,,,,1,9,8
2004-09-15 00:00:00,,,,,,,,,,1,8,9
2004-09-16 00:00:00,,,,,,,,,,1,9,8
2004-10-04 00:00:00,,,,,,,,,,1,9,8
2004-10-05 00:00:00,,,,,,,,,,1,9,8
2004-10-07 00:00:00,,,,,,,,,,1,9,8
2004-10-13 00:00:00,,,,,,,,,,1,9,8
2004-10-20 00:00:00,,,,,,,,,,0,9,9
2004-10-21 00:00:00,,,,,,,,,,0,9,9
2004-10-26 00:00:00,,,,,,,,,,0,9,9
2004-10-27 00:00:00,,,,,,,,,,0,9,9
2004-11-22 00:00:00,,,,,,,,,,0,9,9
2004-11-24 00:00:00,,,,,,,,,,0,9,9
2004-11-29 00:00:00,,,,,,,,,,0,9,9
2004-12-01 00:00:00,,,,,,,,,,0,9,9
2004-12-02 00:00:00,,,,,,,,,,0,9,9
2004-12-24 00:00:00,,,,,,,,,,0,9,10
2005-01-21 00:00:00,,,,,,,,,,0,9,9
2005-01-28 00:00:00,,,,,,,,,,0,9,9
2005-02-07 00:00:00,,,,,,,,,,0,9,8
2005-02-18 00:00:00,,,,,,,,,,0,8,8
2005-03-30 00:00:00,,,,,,,,,,0,7,7
2005-03-31 00:00:00,,,,,,,,,,0,8,7
2005-04-12 00:00:00,,,,,,,,,,1,8,7
2005-04-22 00:00:00,,,,,,,,,,1,8,7
2005-05-03 00:00:00,,,,,,,,,,1,9,7
2005-05-19 00:00:00,,,,,,,,,,2,9,5
2005-06-03 00:00:00,,,,,,,,,,2,9,5
2005-06-07 00:00:00,,,,,,,,,,2,9,5
2005-06-14 00:00:00,,,,,,,,,,2,9,6
2005-06-17 00:00:00,,,,,,,,,,2,9,6
2005-07-05 00:00:00,,,,,,,,,,2,9,6
2005-07-13 00:00:00,,,,,,,,,,2,8,7
2005-07-14 00:00:00,,,,,,,,,,2,8,7
2005-07-18 00:00:00,,,,,,,,,,2,8,7
2005-07-28 00:00:00,,,,,,,,,,2,8,7
2005-07-29 00:00:00,,,,,,,,,,2,8,7
2005-08-26 00:00:00,,,,,,,,,,2,8,7
2005-09-07 00:00:00,,,,,,,,,,2,8,7
2005-09-08 00:00:00,,,,,,,,,,2,8,6
2005-09-09 00:00:00,,,,,,,,,,2,8,6
2005-09-16 00:00:00,,,,,,,,,,2,8,5
2005-10-06 00:00:00,,,,,,,,,,2,8,5
2005-10-13 00:00:00,,,,,,,,,,2,8,6
2005-10-19 00:00:00,,,,,,,,,,3,9,4
2005-10-27 00:00:00,,,,,,,,,,3,9,4
2005-10-28 00:00:00,,,,,,,,,,3,9,4
2005-10-31 00:00:00,,,,,,,,,,3,9,4
2005-11-17 00:00:00,,,,,,,,,,3,10,4
2005-11-28 00:00:00,,,,,,,,,,3,10,4
2005-11-29 00:00:00,,,,,,,,,,3,10,4
2005-11-30 00:00:00,,,,,,,,,,3,8,4
2005-12-02 00:00:00,,,,,,,,,,2,8,5
2005-12-15 00:00:00,,,,,,,,,,2,7,5
2005-12-21 00:00:00,,,,,,,,,,2,7,5
2005-12-22 00:00:00,,,,,,,,,,1,8,5
2005-12-23 00:00:00,,,,,,,,,,0,8,6
2006-01-03 00:00:00,,,,,,,,,,0,8,6
2006-01-09 00:00:00,,,,,,,,,,0,9,5
2006-01-11 00:00:00,,,,,,,,,,0,9,5
2006-01-12 00:00:00,,,,,,,,,,0,9,6
2006-01-17 00:00:00,,,,,,,,,,0,9,6
2006-01-18 00:00:00,,,,,,,,,,0,9,7
2006-01-24 00:00:00,,,,,,,,,,0,9,7
2006-01-26 00:00:00,,,,,,,,,,0,9,7
2006-01-27 00:00:00,,,,,,,,,,0,9,7
2006-01-30 00:00:00,,,,,,,,,,0,9,7
2006-01-31 00:00:00,,,,,,,,,,0,9,8
2006-02-03 00:00:00,,,,,,,,,,0,10,7
2006-02-06 00:00:00,,,,,,,,,,0,10,7
2006-02-09 00:00:00,,,,,,,,,,0,10,7
2006-02-13 00:00:00,,,,,,,,,,0,10,7
2006-02-16 00:00:00,,,,,,,,,,0,10,7
2006-02-17 00:00:00,,,,,,,,,,0,10,6
2006-02-28 00:00:00,,,,,,,,,,0,10,6
2006-03-07 00:00:00,,,,,,,,,,1,10,5
2006-03-15 00:00:00,,,,,,,,,,1,10,5
2006-03-22 00:00:00,,,,,,,,,,1,10,5
2006-04-11 00:00:00,,,,,,,,,,1,10,5
2006-04-12 00:00:00,,,,,,,,,,1,10,5
2006-04-27 00:00:00,,,,,,,,,,1,10,5
2006-04-28 00:00:00,,,,,,,,,,1,12,4
2006-05-12 00:00:00,,,,,,,,,,1,12,5
2006-05-16 00:00:00,,,,,,,,,,1,13,5
2006-06-01 00:00:00,,,,,,,,,,1,13,5
2006-06-13 00:00:00,,,,,,,,,,1,13,5
2006-06-15 00:00:00,,,,,,,,,,1,13,5
2006-06-26 00:00:00,,,,,,,,,,1,13,5
2006-06-27 00:00:00,,,,,,,,,,1,13,5
2006-06-28 00:00:00,,,,,,,,,,1,12,5
2006-07-12 00:00:00,,,,,,,,,,1,12,5
2006-07-18 00:00:00,,,,,,,,,,0,12,6
2006-07-20 00:00:00,,,,,,,,,,0,12,6
2006-07-28 00:00:00,,,,,,,,,,0,11,7
2006-08-11 00:00:00,,,,,,,,,,0,11,6
2006-08-16 00:00:00,,,,,,,,,,0,12,6
2006-08-23 00:00:00,,,,,,,,,,0,12,7
2006-08-31 00:00:00,,,,,,,,,,0,12,7
2006-09-14 00:00:00,,,,,,,,,,0,12,7
2006-09-18 00:00:00,,,,,,,,,,0,13,7
2006-09-19 00:00:00,,,,,,,,,,0,14,6
2006-10-03 00:00:00,,,,,,,,,,0,14,6
2006-10-05 00:00:00,,,,,,,,,,1,14,6
2006-10-09 00:00:00,,,,,,,,,,1,14,6
2006-10-17 00:00:00,,,,,,,,,,1,14,6
2006-10-24 00:00:00,,,,,,,,,,1,14,6
2006-10-25 00:00:00,,,,,,,,,,1,14,6
2006-10-26 00:00:00,,,,,,,,,,1,14,6
2006-11-01 00:00:00,,,,,,,,,,1,14,6
2006-11-03 00:00:00,,,,,,,,,,1,15,5
2006-11-16 00:00:00,,,,,,,,,,1,15,5
2006-11-29 00:00:00,,,,,,,,,,1,15,5
2006-11-30 00:00:00,,,,,,,,,,1,15,6
2006-12-01 00:00:00,,,,,,,,,,1,15,6
2006-12-06 00:00:00,,,,,,,,,,1,14,6
2006-12-11 00:00:00,,,,,,,,,,1,14,6
2006-12-18 00:00:00,,,,,,,,,,1,15,6
2006-12-20 00:00:00,,,,,,,,,,1,15,6
2006-12-28 00:00:00,,,,,,,,,,1,15,6
2007-01-03 00:00:00,,,,,,,,,,1,15,6
2007-01-05 00:00:00,,,,,,,,,,1,14,7
2007-01-09 00:00:00,,,,,,,,,,1,14,7
2007-01-25 00:00:00,,,,,,,,,,1,14,7
2007-01-26 00:00:00,,,,,,,,,,1,14,7
2007-02-05 00:00:00,,,,,,,,,,1,13,7
2007-02-08 00:00:00,,,,,,,,,,1,13,7
2007-02-16 00:00:00,,,,,,,,,,1,13,7
2007-02-19 00:00:00,,,,,,,,,,1,12,7
2007-02-20 00:00:00,,,,,,,,,,1,12,7
2007-02-22 00:00:00,,,,,,,,,,1,13,7
