Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,5.5,5.875,5.375,,,,,,
2000-05-02 00:00:00,,,,5.4375,5.5,5.0078,,,,,,
2000-05-03 00:00:00,,,,4.9922,5.1875,4.8281,,,,,,
2000-05-04 00:00:00,,,,5.125,5.4844,5.1094,,,,,,
2000-05-05 00:00:00,,,,5.3281,5.4531,5.2188,,,,,,
2000-05-08 00:00:00,,,,5.3438,5.3906,5.25,,,,,,
2000-05-09 00:00:00,,,,5.3867,5.75,5.3828,,,,,,
2000-05-10 00:00:00,,,,5.4844,5.5938,5.2344,,,,0,1,0
2000-05-11 00:00:00,,,,5.3125,5.332,4.8672,,,,,,
2000-05-12 00:00:00,,,,5.0313,5.0625,4.9375,,,,,,
2000-05-15 00:00:00,,,,4.9375,4.9766,4.7656,,,,,,
2000-05-16 00:00:00,,,,4.9375,5.0859,4.9375,,,,,,
2000-05-17 00:00:00,,,,4.9375,5.0625,4.8281,,,,,,
2000-05-18 00:00:00,,,,5.0156,5.0625,4.9219,,,,,,
2000-05-19 00:00:00,,,,4.9922,5,4.7656,,,,,,
2000-05-22 00:00:00,,,,4.8047,4.8281,4.4609,,,,,,
2000-05-23 00:00:00,,,,4.6875,5.0156,4.6563,,,,,,
2000-05-24 00:00:00,,,,4.7813,4.8281,4.5,,,,,,
2000-05-25 00:00:00,,,,4.6563,4.9844,4.6406,,,,,,
2000-05-26 00:00:00,,,,4.7813,4.8984,4.6484,,,,0,2,0
2000-05-30 00:00:00,,,,4.7734,4.7734,4.3594,,,,,,
2000-05-31 00:00:00,,,,4.5586,4.5625,4.2969,,,,,,
2000-06-01 00:00:00,,,,4.3516,4.7109,4.3438,,,,,,
2000-06-02 00:00:00,,,,4.6797,4.6875,4.4531,,,,,,
2000-06-05 00:00:00,,,,4.6172,4.6719,4.4297,,,,,,
