Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,3,1
2001-07-10 00:00:00,,,,,,,,,,0,4,1
2001-07-12 00:00:00,,,,,,,,,,0,4,2
2001-07-31 00:00:00,,,,,,,,,,0,4,2
2001-08-01 00:00:00,,,,,,,,,,0,4,2
2001-10-08 00:00:00,,,,,,,,,,0,4,2
2001-10-12 00:00:00,,,,,,,,,,0,4,2
2001-10-30 00:00:00,,,,,,,,,,0,4,2
2001-11-09 00:00:00,,,,,,,,,,0,5,1
2001-11-12 00:00:00,,,,,,,,,,0,5,1
2001-11-14 00:00:00,,,,,,,,,,0,6,1
2001-12-19 00:00:00,,,,,,,,,,0,7,1
2002-01-09 00:00:00,,,,,,,,,,0,8,1
2002-01-30 00:00:00,,,,,,,,,,0,9,1
2002-02-12 00:00:00,,,,,,,,,,0,9,1
2002-02-13 00:00:00,,,,,,,,,,0,9,1
2002-03-18 00:00:00,,,,,,,,,,0,9,1
2002-04-18 00:00:00,,,,,,,,,,0,9,1
2002-04-30 00:00:00,,,,,,,,,,0,9,1
2002-05-01 00:00:00,,,,,,,,,,0,9,1
2002-05-21 00:00:00,,,,,,,,,,0,9,1
2002-07-11 00:00:00,,,,,,,,,,0,8,1
2002-07-19 00:00:00,,,,,,,,,,0,8,1
2002-07-30 00:00:00,,,,,,,,,,0,8,1
2002-07-31 00:00:00,,,,,,,,,,0,9,1
2002-09-06 00:00:00,,,,,,,,,,0,9,1
2002-09-09 00:00:00,,,,,,,,,,0,9,1
2002-09-23 00:00:00,,,,,,,,,,0,9,1
2002-09-25 00:00:00,,,,,,,,,,0,9,1
2002-10-11 00:00:00,,,,,,,,,,1,9,1
2002-10-14 00:00:00,,,,,,,,,,1,8,1
2002-10-30 00:00:00,,,,,,,,,,1,9,1
2002-12-06 00:00:00,,,,,,,,,,1,9,1
2003-01-13 00:00:00,,,,,,,,,,1,9,1
2003-01-23 00:00:00,,,,,,,,,,0,9,2
2003-01-27 00:00:00,,,,,,,,,,0,9,2
2003-02-06 00:00:00,,,,,,,,,,0,10,2
2003-02-07 00:00:00,,,,,,,,,,0,10,2
2003-02-10 00:00:00,,,,,,,,,,0,10,2
2003-04-08 00:00:00,,,,,,,,,,0,9,2
2003-04-24 00:00:00,,,,,,,,,,0,9,2
2003-04-25 00:00:00,,,,,,,,,,0,9,2
2003-04-30 00:00:00,,,,,,,,,,0,9,1
2003-05-12 00:00:00,,,,,,,,,,0,9,0
2003-05-29 00:00:00,,,,,,,,,,0,10,0
2003-06-30 00:00:00,,,,,,,,,,0,10,0
