Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,32.5,33.83,32.45,,,,,,
2006-07-20 00:00:00,,,,32.55,32.9,32.55,,,,,,
2006-07-21 00:00:00,,,,32.82,33.1,32.74,,,,,,
2006-07-24 00:00:00,,,,32.9,32.98,31.95,,,,,,
2006-07-25 00:00:00,,,,32.3,34.87,31.85,,,,0,1,0
2006-07-26 00:00:00,,,,33.75,33.75,31.74,,,,,,
2006-07-27 00:00:00,,,,32.2,32.4,31.2,,,,,,
2006-07-28 00:00:00,,,,31.5,33.05,31.15,,,,,,
2006-07-31 00:00:00,,,,33,34,32.6,,,,,,
2006-08-01 00:00:00,,,,33.45,33.45,31.11,,,,0,1,2
2006-08-02 00:00:00,,,,31.6,31.6,29.93,,,,,,
2006-08-03 00:00:00,,,,30,30.35,29.45,,,,,,
2006-08-04 00:00:00,,,,29.55,29.98,28.12,,,,,,
2006-08-07 00:00:00,,,,28.05,28.07,25.48,,,,,,
2006-08-08 00:00:00,,,,27.15,27.4,26.75,,,,,,
2006-08-09 00:00:00,,,,27.05,27.2,25.7,,,,,,
2006-08-10 00:00:00,,,,25.5,28.31,25.5,,,,,,
2006-08-11 00:00:00,,,,28.1,29.37,28.1,,,,,,
2006-08-14 00:00:00,,,,28.45,28.54,27.47,,,,,,
2006-08-15 00:00:00,,,,28.2,28.56,28.1,,,,,,
2006-08-16 00:00:00,,,,28.5,28.63,28.05,,,,,,
2006-08-17 00:00:00,,,,28,28.2,27.54,,,,,,
2006-08-18 00:00:00,,,,28,28.37,27.76,,,,,,
2006-08-21 00:00:00,,,,27.1,27.4,27.03,,,,,,
2006-08-22 00:00:00,,,,26.4,26.7,26.35,,,,,,
2006-08-23 00:00:00,,,,26.2,26.7,26.2,,,,,,
2006-08-24 00:00:00,,,,27.9,28.5,27.63,,,,0,2,1
2006-08-25 00:00:00,,,,27.88,28.91,27.84,,,,,,
2006-08-28 00:00:00,,,,28.87,29.5,28.42,,,,,,
2006-08-29 00:00:00,,,,28.65,29.14,28.65,,,,,,
2006-08-30 00:00:00,,,,29,29.25,28.92,,,,,,
2006-08-31 00:00:00,,,,29.05,29.37,29.01,,,,,,
2006-09-01 00:00:00,,,,29.35,29.56,29.2,,,,,,
2006-09-05 00:00:00,,,,29.2,29.51,29.08,,,,,,
2006-09-06 00:00:00,,,,29.2,29.6,28.68,,,,,,
