Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,16.1,16.1,16.1,,,,,,
2002-09-26 00:00:00,,,,16.1,16.4,16.1,,,,,,
2002-09-27 00:00:00,,,,16.25,16.3,16.05,,,,,,
2002-09-30 00:00:00,,,,16,17.25,15.8,,,,,,
2002-10-01 00:00:00,,,,17.2,17.65,16.78,,,,0,1,1
2002-10-02 00:00:00,,,,16.78,16.78,15.35,,,,,,
2002-10-03 00:00:00,,,,15.55,16.38,15.55,,,,,,
2002-10-04 00:00:00,,,,16,16.1,15.55,,,,,,
2002-10-07 00:00:00,,,,15.75,16,15,,,,0,2,1
2002-10-08 00:00:00,,,,14.4,14.4,13.77,,,,,,
2002-10-09 00:00:00,,,,14.1,14.25,13.95,,,,,,
2002-10-10 00:00:00,,,,13.95,14,13.23,,,,,,
2002-10-11 00:00:00,,,,13.59,13.88,13.45,,,,,,
2002-10-14 00:00:00,,,,13.4,14.3,13.4,,,,,,
2002-10-15 00:00:00,,,,14.12,14.98,14.12,,,,,,
2002-10-16 00:00:00,,,,14.85,14.95,14.12,,,,,,
2002-10-17 00:00:00,,,,14.15,14.48,14.14,,,,,,
2002-10-18 00:00:00,,,,14.4,14.93,14.2,,,,,,
2002-10-21 00:00:00,,,,14.55,14.94,14.5,,,,,,
2002-10-22 00:00:00,,,,14.75,15.1,14.6,,,,,,
2002-10-23 00:00:00,,,,15.1,15.38,15,,,,,,
2002-10-24 00:00:00,,,,15.3,15.48,15.28,,,,,,
2002-10-25 00:00:00,,,,15.48,15.48,15.05,,,,,,
2002-10-28 00:00:00,,,,15.35,15.42,15.25,,,,,,
2002-10-29 00:00:00,,,,15.35,15.35,15.2,,,,,,
2002-10-30 00:00:00,,,,15.35,16.08,15.35,,,,,,
2002-10-31 00:00:00,,,,16,16.03,15.9,,,,,,
2002-11-01 00:00:00,,,,15.9,16,15.72,,,,,,
2002-11-04 00:00:00,,,,15.97,16.1,15.75,,,,,,
2002-11-05 00:00:00,,,,15.85,15.85,15.45,,,,,,
2002-11-06 00:00:00,,,,15.65,15.73,15.5,,,,,,
2002-11-07 00:00:00,,,,15.5,15.65,15.05,,,,,,
2002-11-08 00:00:00,,,,15.49,15.49,14.8,,,,,,
2002-11-11 00:00:00,,,,14.85,15.16,14.72,,,,,,
2002-11-12 00:00:00,,,,15.08,15.15,14.92,,,,,,
2002-11-13 00:00:00,,,,15.12,15.12,14.6,,,,,,
2002-11-14 00:00:00,,,,14.6,14.83,14.45,,,,,,
2002-11-15 00:00:00,,,,14.55,14.71,14.26,,,,,,
2002-11-18 00:00:00,,,,14.53,14.7,14.18,,,,0,2,1
2002-11-19 00:00:00,,,,14.63,14.81,14.52,,,,,,
2002-11-20 00:00:00,,,,14.8,15.28,14.8,,,,,,
2002-11-21 00:00:00,,,,15.25,15.31,14.9,,,,,,
2002-11-22 00:00:00,,,,15.2,15.33,15.12,,,,,,
2002-11-25 00:00:00,,,,15.22,15.6,15.22,,,,,,
2002-11-26 00:00:00,,,,15.48,15.57,15.37,,,,,,
2002-11-27 00:00:00,,,,15.37,15.5,15.35,,,,,,
2002-11-29 00:00:00,,,,15.37,15.5,15.12,,,,,,
2002-12-02 00:00:00,,,,15.5,16.01,15.35,,,,,,
2002-12-03 00:00:00,,,,15.85,15.95,15.52,,,,,,
2002-12-04 00:00:00,,,,15.87,16.3,15.72,,,,,,
2002-12-05 00:00:00,,,,16.19,16.55,16.18,,,,,,
2002-12-06 00:00:00,,,,16.35,16.98,16.35,,,,,,
2002-12-09 00:00:00,,,,16.7,17.21,16.52,,,,,,
2002-12-10 00:00:00,,,,16.8,17.02,16.6,,,,,,
2002-12-11 00:00:00,,,,16.92,17.1,16.78,,,,,,
2002-12-12 00:00:00,,,,16.8,17.55,16.8,,,,,,
2002-12-13 00:00:00,,,,17.3,17.7,17.28,,,,,,
2002-12-16 00:00:00,,,,17.44,17.88,17.2,,,,,,
2002-12-17 00:00:00,,,,17.27,17.45,16.75,,,,,,
2002-12-18 00:00:00,,,,16.78,16.85,16.42,,,,,,
2002-12-19 00:00:00,,,,16.62,17.09,16.5,,,,,,
2002-12-20 00:00:00,,,,16.95,17.2,16.55,,,,,,
2002-12-23 00:00:00,,,,16.45,17,16.45,,,,,,
2002-12-24 00:00:00,,,,16.92,17.2,16.85,,,,,,
2002-12-26 00:00:00,,,,16.9,17,16.56,,,,,,
2002-12-27 00:00:00,,,,17,17.08,16.85,,,,,,
2002-12-30 00:00:00,,,,17,17.54,16.86,,,,,,
2002-12-31 00:00:00,,,,17.5,18,17.3,,,,,,
2003-01-02 00:00:00,,,,17.9,18.42,17.9,,,,,,
2003-01-03 00:00:00,,,,18.41,18.45,18.05,,,,,,
2003-01-06 00:00:00,,,,17.7,17.85,17.55,,,,,,
2003-01-07 00:00:00,,,,17.55,17.55,17.07,,,,,,
2003-01-08 00:00:00,,,,17.25,17.6,17.25,,,,,,
2003-01-09 00:00:00,,,,17.41,17.6,17.11,,,,,,
2003-01-10 00:00:00,,,,17.07,17.48,17.07,,,,,,
2003-01-13 00:00:00,,,,17.43,17.65,17.34,,,,,,
2003-01-14 00:00:00,,,,17.69,18.22,17.68,,,,,,
2003-01-15 00:00:00,,,,18.2,18.38,18.15,,,,,,
2003-01-16 00:00:00,,,,18.52,19.47,18.51,,,,,,
2003-01-17 00:00:00,,,,19.25,19.25,19.09,,,,,,
2003-01-21 00:00:00,,,,19.12,19.12,18.85,,,,,,
2003-01-22 00:00:00,,,,18.85,18.87,18.8,,,,,,
