Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,47.5,48,46.75,,,,0,3,0
2000-05-02 00:00:00,,,,47.125,48.6875,47,,,,,,
2000-05-03 00:00:00,,,,47.875,48.875,47,,,,,,
2000-05-04 00:00:00,,,,47.125,50.875,47.125,,,,,,
2000-05-05 00:00:00,,,,50.4375,50.4375,49.6875,,,,,,
2000-05-08 00:00:00,,,,50.125,52.25,49.9375,,,,,,
2000-05-09 00:00:00,,,,51.125,51.8125,50.8125,,,,,,
2000-05-10 00:00:00,,,,45.5,47.875,43.75,,,,,,
2000-05-11 00:00:00,,,,47.625,48.875,46.5,,,,0,3,0
2000-05-12 00:00:00,,,,47.5,49.3125,47.5,,,,,,
2000-05-15 00:00:00,,,,49,50.25,49,,,,,,
2000-05-16 00:00:00,,,,51.875,51.875,50.75,,,,0,4,0
2000-05-17 00:00:00,,,,51.625,51.625,49.125,,,,,,
2000-05-18 00:00:00,,,,50.5,53.125,50.375,,,,,,
2000-05-19 00:00:00,,,,52,54.25,51.875,,,,,,
2000-05-22 00:00:00,,,,52.75,53.875,52.375,,,,,,
2000-05-23 00:00:00,,,,53.375,55.75,53.3125,,,,,,
2000-05-24 00:00:00,,,,55.625,58.8125,55.625,,,,,,
2000-05-25 00:00:00,,,,58,58,56.5,,,,,,
2000-05-26 00:00:00,,,,57.0625,58.875,56.875,,,,,,
2000-05-30 00:00:00,,,,58,58.9375,58,,,,,,
2000-05-31 00:00:00,,,,58.375,59.6875,58.0625,,,,,,
2000-06-01 00:00:00,,,,59.875,61,59.625,,,,0,5,0
2000-06-02 00:00:00,,,,62.875,63.5,60.5,,,,,,
2000-06-05 00:00:00,,,,60.75,61.875,58.625,,,,,,
2000-06-06 00:00:00,,,,58.75,59.25,58.125,,,,0,6,0
2000-06-07 00:00:00,,,,58.25,59.375,57.875,,,,,,
2000-06-08 00:00:00,,,,58.375,58.375,56.25,,,,,,
2000-06-09 00:00:00,,,,57,57.5,57,,,,0,6,0
2000-06-12 00:00:00,,,,56.75,58,56.5,,,,,,
2000-06-13 00:00:00,,,,56.625,56.8125,55.5,,,,,,
2000-06-14 00:00:00,,,,56.5625,56.8125,55.9375,,,,,,
2000-06-15 00:00:00,,,,58,58.25,56.25,,,,,,
2000-06-16 00:00:00,,,,57.625,57.625,56.5625,,,,,,
2000-06-19 00:00:00,,,,55.625,56.3125,54.75,,,,,,
2000-06-20 00:00:00,,,,56.125,56.5,54.75,,,,,,
2000-06-21 00:00:00,,,,55,55,53.3125,,,,,,
2000-06-22 00:00:00,,,,55.125,55.25,54.5625,,,,,,
2000-06-23 00:00:00,,,,54.8125,54.9375,54.75,,,,,,
2000-06-26 00:00:00,,,,54.75,55,54.375,,,,,,
2000-06-27 00:00:00,,,,54.9375,54.9375,54,,,,,,
2000-06-28 00:00:00,,,,54.1875,54.625,52.375,,,,,,
2000-06-29 00:00:00,,,,54,54.375,52.5,,,,,,
2000-06-30 00:00:00,,,,54.8125,54.8125,54,,,,,,
2000-07-03 00:00:00,,,,54,54.9375,53.8125,,,,,,
2000-07-05 00:00:00,,,,54.875,55.9375,54.125,,,,,,
2000-07-06 00:00:00,,,,55.9375,56.25,54.625,,,,,,
2000-07-07 00:00:00,,,,55.5,56.5,55.375,,,,,,
2000-07-10 00:00:00,,,,57.25,58.5,57.25,,,,,,
2000-07-11 00:00:00,,,,57.75,58.4375,57.4375,,,,,,
2000-07-12 00:00:00,,,,59.5,60.5625,59.1875,,,,,,
2000-07-13 00:00:00,,,,59.875,59.9375,57.75,,,,,,
2000-07-14 00:00:00,,,,58.625,58.875,58.25,,,,,,
2000-07-17 00:00:00,,,,58.75,58.875,57.8125,,,,,,
2000-07-18 00:00:00,,,,57.625,57.75,56.5625,,,,,,
2000-07-19 00:00:00,,,,56.5,56.625,56,,,,,,
2000-07-20 00:00:00,,,,56.125,56.6875,56,,,,,,
2000-07-21 00:00:00,,,,56.375,57.125,56.125,,,,,,
2000-07-24 00:00:00,,,,56.5625,57.625,56.5,,,,0,7,0
2000-07-25 00:00:00,,,,56.75,59.875,56.75,,,,,,
2000-07-26 00:00:00,,,,62,64,60.5625,,,,0,7,0
2000-07-27 00:00:00,,,,63.1875,65.5,63.1875,,,,,,
2000-07-28 00:00:00,,,,64.6875,65.9375,64.6875,,,,,,
2000-07-31 00:00:00,,,,65.0625,66.75,65.0625,,,,,,
2000-08-01 00:00:00,,,,66.75,66.9375,66,,,,,,
2000-08-02 00:00:00,,,,66,67.0625,65.625,,,,,,
2000-08-03 00:00:00,,,,66.625,68,66.125,,,,,,
2000-08-04 00:00:00,,,,67.9375,70.125,66.875,,,,,,
2000-08-07 00:00:00,,,,69.5,71,69.3125,,,,,,
2000-08-08 00:00:00,,,,72,72.375,68.5625,,,,,,
2000-08-09 00:00:00,,,,69.625,69.625,67.3125,,,,,,
2000-08-10 00:00:00,,,,67.1875,68.5,65.75,,,,0,7,0
2000-08-11 00:00:00,,,,65.4375,68.1875,65.25,,,,0,7,0
2000-08-14 00:00:00,,,,67.5625,70,67.5625,,,,,,
2000-08-15 00:00:00,,,,68.625,68.75,67.8125,,,,,,
2000-08-16 00:00:00,,,,67.875,68.5,64.125,,,,,,
2000-08-17 00:00:00,,,,65.5,69.5,65.375,,,,,,
2000-08-18 00:00:00,,,,68.125,68.625,66.625,,,,,,
2000-08-21 00:00:00,,,,67.1875,67.1875,64.3125,,,,,,
2000-08-22 00:00:00,,,,65.75,66.9375,65.3125,,,,0,7,0
2000-08-23 00:00:00,,,,66.6875,68.75,66.5,,,,,,
2000-08-24 00:00:00,,,,68.375,68.8125,67.625,,,,,,
2000-08-25 00:00:00,,,,68.4375,68.4375,66.375,,,,,,
2000-08-28 00:00:00,,,,66.25,66.375,64.75,,,,,,
2000-08-29 00:00:00,,,,65.875,66.125,65.0625,,,,,,
2000-08-30 00:00:00,,,,66.375,66.875,65.8125,,,,,,
2000-08-31 00:00:00,,,,67.1875,69.9375,66.875,,,,,,
2000-09-01 00:00:00,,,,69,69,66.5625,,,,,,
2000-09-05 00:00:00,,,,66.5,66.5,65.1875,,,,,,
2000-09-06 00:00:00,,,,65.8125,66.25,64.875,,,,,,
2000-09-07 00:00:00,,,,65,67.3125,65,,,,,,
2000-09-08 00:00:00,,,,66.75,69.375,66.75,,,,,,
2000-09-11 00:00:00,,,,69,69.625,68.9375,,,,,,
2000-09-12 00:00:00,,,,69,69.4375,68.875,,,,,,
2000-09-13 00:00:00,,,,69.25,70.5,69.0625,,,,,,
2000-09-14 00:00:00,,,,71,74,70.625,,,,0,8,0
2000-09-15 00:00:00,,,,71.25,72.75,70.6875,,,,,,
2000-09-18 00:00:00,,,,71.125,73.75,71.125,,,,,,
2000-09-19 00:00:00,,,,73.75,74.625,72.3125,,,,,,
2000-09-20 00:00:00,,,,73.375,74,71.375,,,,,,
2000-09-21 00:00:00,,,,72,73.5,72,,,,,,
2000-09-22 00:00:00,,,,73,73,72.5625,,,,,,
2000-09-25 00:00:00,,,,73,74.8125,72.375,,,,0,9,0
2000-09-26 00:00:00,,,,74.875,77.25,74,,,,0,9,0
2000-09-27 00:00:00,,,,78,79.8125,76.875,,,,,,
2000-09-28 00:00:00,,,,77.5,78.375,75.75,,,,,,
2000-09-29 00:00:00,,,,76.9375,76.9375,73.5,,,,0,9,0
2000-10-02 00:00:00,,,,75,77.625,75,,,,,,
2000-10-03 00:00:00,,,,77,77.375,75,,,,,,
2000-10-04 00:00:00,,,,75.75,77.25,75.375,,,,,,
2000-10-05 00:00:00,,,,74.5,79,74.5,,,,,,
2000-10-06 00:00:00,,,,78.375,78.6875,76.375,,,,,,
2000-10-09 00:00:00,,,,76.5,76.9375,74.75,,,,,,
2000-10-10 00:00:00,,,,75.25,75.5,71.4375,,,,,,
2000-10-11 00:00:00,,,,71.6875,72.625,69.5,,,,,,
2000-10-12 00:00:00,,,,70.75,71.3125,67.625,,,,,,
2000-10-13 00:00:00,,,,68.5,71.125,68.375,,,,0,9,0
2000-10-16 00:00:00,,,,71.25,72.375,70.4375,,,,,,
2000-10-17 00:00:00,,,,71.9375,73.1875,69.375,,,,,,
2000-10-18 00:00:00,,,,70.25,70.9375,69.125,,,,,,
2000-10-19 00:00:00,,,,71.5,72.8125,71.5,,,,,,
2000-10-20 00:00:00,,,,74.125,74.125,71.875,,,,,,
2000-10-23 00:00:00,,,,72,72.5,71.75,,,,,,
2000-10-24 00:00:00,,,,72,77,72,,,,,,
2000-10-25 00:00:00,,,,76.5,78,76.25,,,,,,
2000-10-26 00:00:00,,,,76.875,77.1875,74,,,,,,
2000-10-27 00:00:00,,,,75.5,77,75.5,,,,,,
2000-10-30 00:00:00,,,,77,78.5,77,,,,,,
2000-10-31 00:00:00,,,,76.625,77.25,76.5,,,,,,
2000-11-01 00:00:00,,,,76,76.875,75.75,,,,,,
2000-11-02 00:00:00,,,,76,76.25,74.375,,,,,,
2000-11-03 00:00:00,,,,73.75,74.5,72.8125,,,,,,
2000-11-06 00:00:00,,,,72.875,75.5,72.375,,,,0,10,0
2000-11-07 00:00:00,,,,74.75,76.9375,74.75,,,,,,
2000-11-08 00:00:00,,,,76,76.9375,75.6875,,,,0,10,0
2000-11-09 00:00:00,,,,75.6875,75.9375,74.875,,,,,,
2000-11-10 00:00:00,,,,75.25,77,74.75,,,,,,
2000-11-13 00:00:00,,,,75.1875,75.75,73.5,,,,,,
2000-11-14 00:00:00,,,,73.75,76.9375,73.75,,,,,,
2000-11-15 00:00:00,,,,75.75,76.25,74.9375,,,,0,11,0
2000-11-16 00:00:00,,,,75,76,75,,,,,,
2000-11-17 00:00:00,,,,75,77.75,75,,,,,,
2000-11-20 00:00:00,,,,77,77.875,76.5,,,,,,
2000-11-21 00:00:00,,,,77.75,77.75,76.4375,,,,0,11,0
2000-11-22 00:00:00,,,,77.1875,77.1875,75.875,,,,,,
2000-11-24 00:00:00,,,,77,77.125,76.75,,,,,,
2000-11-27 00:00:00,,,,76.8125,77.25,76.75,,,,,,
2000-11-28 00:00:00,,,,77.1875,79,77.1875,,,,,,
2000-11-29 00:00:00,,,,78.5,80,77.8125,,,,,,
2000-11-30 00:00:00,,,,80,81.1875,79.5,,,,0,11,0
2000-12-01 00:00:00,,,,80.0625,81.25,80,,,,,,
2000-12-04 00:00:00,,,,80,81.8125,79.5,,,,,,
2000-12-05 00:00:00,,,,81.6875,81.75,79.875,,,,0,11,1
2000-12-06 00:00:00,,,,79.5,81.1875,79.3125,,,,,,
2000-12-07 00:00:00,,,,81,82.375,80.25,,,,,,
2000-12-08 00:00:00,,,,82.9375,86.5,82.5,,,,0,11,1
2000-12-11 00:00:00,,,,85.5,85.9375,84.4375,,,,0,11,1
2000-12-12 00:00:00,,,,84,84,82.25,,,,,,
2000-12-13 00:00:00,,,,82.0625,82.0625,79.4375,,,,,,
2000-12-14 00:00:00,,,,81.25,81.9375,80.125,,,,,,
2000-12-15 00:00:00,,,,81.375,82.25,80.625,,,,,,
2000-12-18 00:00:00,,,,80.9375,82,80.25,,,,,,
2000-12-19 00:00:00,,,,82.5,82.5,79.0625,,,,,,
2000-12-20 00:00:00,,,,78.375,78.625,77.125,,,,,,
2000-12-21 00:00:00,,,,78.125,82.75,78.125,,,,,,
2000-12-22 00:00:00,,,,83.75,83.875,82.75,,,,,,
2000-12-26 00:00:00,,,,83.125,85.25,83,,,,,,
2000-12-27 00:00:00,,,,85.25,88,85.125,,,,0,11,1
2000-12-28 00:00:00,,,,86.875,89.25,86.25,,,,,,
2000-12-29 00:00:00,,,,88.5625,89.25,87.375,,,,,,
2001-01-02 00:00:00,,,,87.125,88.5,83.4375,,,,,,
2001-01-03 00:00:00,,,,87,87.0625,81.4375,,,,,,
2001-01-04 00:00:00,,,,78,78.375,71,,,,0,11,1
2001-01-05 00:00:00,,,,75.5625,75.75,73,,,,,,
2001-01-08 00:00:00,,,,75.0625,76.375,74.75,,,,,,
2001-01-09 00:00:00,,,,75.625,76,72.875,,,,,,
2001-01-10 00:00:00,,,,74.1875,76.125,73.5,,,,,,
2001-01-11 00:00:00,,,,76.25,79.375,75.4375,,,,0,11,1
2001-01-12 00:00:00,,,,79,79,73.5,,,,,,
2001-01-16 00:00:00,,,,74.25,76.75,74.25,,,,,,
2001-01-17 00:00:00,,,,75,75.25,71.25,,,,,,
2001-01-18 00:00:00,,,,72,77,70.625,,,,,,
2001-01-19 00:00:00,,,,75.875,75.875,74.625,,,,,,
2001-01-22 00:00:00,,,,75.0625,78.125,74.625,,,,,,
